code,trade_date,open,high,low,close,volume,amount,turn,pe_ttm
sh.600111,2026-06-29,47.0,47.7,46.75,47.62,79788109,3767167589.24,2.2071,62.865297
sh.600111,2026-06-30,47.39,48.1,46.7,48.05,81304302,3858950542.67,2.249,63.432959
sh.600113,2026-06-29,27.34,30.16,26.17,30.16,9966440,280646121.8,2.4224,90.37986
sh.600113,2026-06-30,31.38,33.18,30.68,33.18,10914417,357583125.18,2.6528,99.429832
sh.600114,2026-06-29,39.91,40.66,36.26,36.89,46253941,1744196403.33,7.5041,42.352924
sh.600114,2026-06-30,36.99,38.6,36.71,37.76,27979471,1051939506.58,4.5393,43.35176
sh.600115,2026-06-29,4.01,4.05,3.88,3.95,212458991,837644386.45,1.2479,87.684985
sh.600115,2026-06-30,3.92,3.93,3.76,3.81,316874553,1213882347.56,1.8612,84.577163
sh.600116,2026-06-29,5.59,5.66,5.45,5.61,14766400,82246267.0,0.7722,22.699395
sh.600116,2026-06-30,5.6,5.62,5.53,5.6,10692904,59540333.24,0.5592,22.658933
sh.600117,2026-06-29,2.03,2.1,2.0,2.07,13209331,27106368.56,0.4058,-6.716383
sh.600117,2026-06-30,2.06,2.08,2.02,2.04,10673600,21742255.0,0.3279,-6.619044
sh.600118,2026-06-29,78.0,81.8,74.93,81.02,88636596,6957818695.12,7.4958,5643.582683
sh.600118,2026-06-30,82.0,84.17,80.75,82.05,76489296,6296589205.61,6.4685,5715.329044
sh.600120,2026-06-29,4.36,4.37,4.24,4.3,30381056,130662820.23,0.8895,15.858322
sh.600120,2026-06-30,4.28,4.38,4.25,4.3,30261916,130447067.92,0.886,15.858322
sh.600121,2026-06-29,3.6,3.68,3.52,3.65,37500417,135373805.54,3.0778,-4.184407
sh.600121,2026-06-30,3.6,3.66,3.51,3.58,40124186,143496110.1,3.2932,-4.104159
sh.600123,2026-06-29,5.48,5.58,5.33,5.48,22972855,125128362.56,1.5593,-13.438634
sh.600123,2026-06-30,5.47,5.48,5.3,5.34,20419622,109317580.14,1.386,-13.095311
sh.600125,2026-06-29,5.15,5.22,5.02,5.2,13521860,69474006.0,1.0357,12.593948
sh.600125,2026-06-30,5.18,5.2,5.07,5.07,9432600,48197573.0,0.7225,12.279099
sh.600126,2026-06-29,6.01,6.43,5.96,6.08,56100465,344125196.15,1.6612,298.699097
sh.600126,2026-06-30,6.1,6.24,5.98,6.13,50351976,308673901.15,1.4909,301.155504
sh.600127,2026-06-29,5.13,5.22,5.03,5.19,12311901,63355511.09,1.9184,-638.671058
sh.600127,2026-06-30,5.17,5.22,5.11,5.2,9376900,48440992.0,1.4611,-639.901638
sh.600128,2026-06-29,7.7,7.82,7.41,7.76,5014500,38390282.0,2.0321,33.661906
sh.600128,2026-06-30,7.77,7.83,7.56,7.59,3947200,30129146.0,1.5996,32.924467
sh.600129,2026-06-29,11.78,13.05,11.56,13.05,17236372,216100042.67,3.1258,64.453426
