=== 年度汇总 ===
年份,笔数,胜率%,累计盈亏,平均%,最佳%,最差%
2022,15,60,"16,652",0.7%,9.2%,-17.6%
2023,33,64,"75,695",1.1%,25.1%,-10.1%
2024,37,57,"381,920",4.6%,154.0%,-13.1%
2025,40,82,"460,851",3.5%,15.7%,-2.4%
2026,30,60,"363,386",3.0%,32.5%,-6.6%

=== 交易明细 ===
买入日,卖出日,ETF名称,代码,买入价,卖出价,盈亏%,盈亏额,持天,买入原因,卖出原因
2025-02-18,2025-02-21,科创50ETF工银,sh588050,1.04,1.127,8.4%,"24,664",3,ETF Alpha(缩量新高 corr=-0.53 | 波动放大1.3x | 距20日高-3.0% | 5日-1.2%),"量价同步(散户涌入 corr=0.95,盈8.4%)"
2025-02-18,2025-02-21,科创50ETF易方达,sh588080,1.035,1.122,8.4%,"24,778",3,ETF Alpha(缩量新高 corr=-0.54 | 波动放大1.3x | 距20日高-3.0% | 5日-1.3%),"量价同步(散户涌入 corr=0.91,盈8.4%)"
2025-02-18,2025-02-21,半导体ETF鹏华,sz159813,0.815,0.891,9.3%,"27,489",3,ETF Alpha(缩量新高 corr=-0.46 | 波动放大1.2x | 距20日高-3.4% | 5日-0.2%),"量价同步(散户涌入 corr=0.84,盈9.3%)"
2025-03-04,2025-03-25,科创新材料ETF博时,sh588010,0.623,0.608,-2.4%,"-7,713",21,ETF Alpha(缩量新高 corr=-0.51 | 波动放大1.3x | 距20日高-2.0% | 5日0.6%),"量价同步(散户涌入 corr=0.52,盈-2.4%)"
2025-04-07,2025-05-14,红利ETF华泰柏瑞,sh510880,2.938,3.133,6.6%,"20,865",37,ETF Alpha(缩量新高 corr=-0.81 | 波动放大1.4x | 距20日高-5.8% | 5日-4.7%),"量价同步(散户涌入 corr=0.60,盈6.6%)"
2025-04-07,2025-06-06,红利低波ETF华泰柏瑞,sh512890,1.064,1.168,9.8%,"30,732",60,ETF Alpha(缩量新高 corr=-0.45 | 波动放大1.4x | 距20日高-5.5% | 5日-4.3%),持仓40天到期(盈9.8%)
2025-04-08,2025-04-30,上证50ETF华夏,sh510050,2.628,2.693,2.5%,"7,774",22,ETF Alpha(缩量新高 corr=-0.92 | 波动放大1.5x | 距20日高-6.8% | 5日-3.6%),"量价同步(散户涌入 corr=0.64,盈2.5%)"
2025-04-16,2025-05-19,银行ETF华宝,sh512800,1.532,1.596,4.2%,"13,139",33,ETF Alpha(缩量新高 corr=-0.27 | 波动放大1.2x | 距20日高-1.2% | 5日4.1%),"量价同步(散户涌入 corr=0.51,盈4.2%)"
2025-04-16,2025-05-07,中证500ETF嘉实,sz159922,2.218,2.292,3.3%,"10,493",21,ETF Alpha(缩量新高 corr=-0.39 | 波动放大1.8x | 距20日高-9.4% | 5日2.4%),"量价同步(散户涌入 corr=0.74,盈3.3%)"
2025-05-22,2025-06-13,黄金ETF易方达,sz159934,7.375,7.51,1.8%,"5,994",22,ETF Alpha(缩量新高 corr=-0.43 | 波动放大1.2x | 距20日高-7.4% | 5日5.4%),"量价同步(散户涌入 corr=0.81,盈1.8%)"
2025-05-23,2025-06-03,黄金ETF华安,sh518880,7.454,7.478,0.3%,"1,054",11,ETF Alpha(缩量新高 corr=-0.35 | 波动放大1.2x | 距20日高-3.9% | 5日3.9%),"量价同步(散户涌入 corr=0.55,盈0.3%)"
