concept_code,trade_date,open,high,low,close,volume,amount
308634,2026-07-06,1747.044,1755.287,1706.417,1722.705,800978160,17635880000.0
300419,2026-07-06,3689.6,3697.786,3587.955,3611.487,5719924300,115621062000.0
308624,2026-07-06,1503.04,1512.205,1479.996,1483.484,1031834660,17478330000.0
300917,2026-07-06,1880.851,1887.585,1825.885,1831.958,1131442260,25934887000.0
308814,2026-07-06,954.322,963.167,949.826,956.803,2060391800,16152252000.0
301565,2026-07-06,960.848,980.453,956.628,968.686,3307701400,47119403000.0
301227,2026-07-06,2723.671,2742.459,2671.129,2674.234,3257156500,48795071000.0
301713,2026-07-06,1810.741,1833.502,1784.216,1785.461,296318770,13629124000.0
302046,2026-07-06,1073.645,1076.681,1052.445,1055.576,807073930,6243936900.0
300642,2026-07-06,4138.979,4147.529,4032.48,4049.843,9798712000,181258080000.0
308841,2026-07-06,1593.106,1596.712,1541.536,1548.79,4912709900,47167309000.0
308606,2026-07-06,1346.554,1351.421,1311.797,1317.759,4001963800,69570929000.0
301175,2026-07-06,4849.723,4855.088,4650.659,4707.706,11991053900,338105330000.0
300037,2026-07-06,3943.342,3960.921,3835.903,3850.495,7017887300,192336640000.0
300920,2026-07-06,3801.718,3810.235,3712.383,3734.178,6214745200,159220730000.0
301797,2026-07-06,1113.558,1118.488,1096.223,1098.083,5399792600,103201783000.0
300682,2026-07-06,4384.038,4423.526,4350.677,4353.292,11366914000,213828620000.0
302131,2026-07-06,2895.202,2897.532,2779.373,2819.645,1926589300,75949505000.0
309092,2026-07-06,1744.163,1745.796,1686.927,1707.784,8405589200,209986600000.0
308172,2026-07-06,1578.596,1592.715,1556.924,1557.308,830415460,9875739600.0
301539,2026-07-06,1516.859,1527.35,1487.63,1489.317,2453506100,28269368000.0
308854,2026-07-06,1574.754,1588.212,1557.924,1558.084,3326085900,35458007000.0
301541,2026-07-06,2274.532,2296.692,2265.189,2276.97,286957340,7215679700.0
308690,2026-07-06,4277.005,4290.975,4045.748,4144.885,4020935000,272550490000.0
300704,2026-07-06,1737.849,1745.445,1721.8,1725.666,6624945300,116604640000.0
308740,2026-07-06,1770.626,1773.199,1718.878,1727.797,14025632000,639434590000.0
300435,2026-07-06,1548.551,1567.899,1547.709,1553.308,385533720,3001796900.0
308697,2026-07-06,195.135,195.412,188.722,189.436,990662560,52683734000.0
300451,2026-07-06,2247.73,2302.171,2230.178,2300.224,1422448800,13330291500.0
301715,2026-07-06,1092.581,1097.694,1088.646,1094.994,11838376600,214405920000.0
301455,2026-07-06,983.515,992.751,967.35,968.171,2622357900,26254191000.0
305794,2026-07-06,924.311,933.176,912.822,915.738,2065372300,14129996000.0
301100,2026-07-06,1470.794,1487.585,1456.93,1457.808,1077582780,13483552000.0
302034,2026-07-06,749.622,755.035,743.697,746.301,1203370170,6559066100.0
306398,2026-07-06,909.454,915.727,902.316,906.496,1290545620,10021173400.0
300127,2026-07-06,4944.261,4961.461,4774.938,4810.89,2707531100,104064376000.0
300843,2026-07-06,7014.909,7027.081,6730.867,6835.925,12729131800,516527480000.0
309055,2026-07-06,2811.313,2825.176,2687.223,2727.05,3954715200,165703900000.0
309265,2026-07-06,1283.651,1301.199,1261.529,1261.843,3996543100,180902910000.0
309264,2026-07-06,824.46,829.221,809.281,810.073,15131536000,230841110000.0
309261,2026-07-06,1274.264,1282.377,1256.027,1258.653,3635330800,50071913000.0
309187,2026-07-06,2110.202,2118.913,2058.811,2097.524,2347429000,208234010000.0
309185,2026-07-06,1075.823,1087.543,1065.755,1066.5,119934063,1447340700.0
309184,2026-07-06,1584.513,1593.967,1557.398,1561.049,20201372000,407801720000.0
309183,2026-07-06,1321.295,1327.044,1292.862,1295.654,10465920300,194916850000.0
309182,2026-07-06,1418.804,1431.542,1380.39,1380.39,2106511400,24062893000.0
309177,2026-07-06,2551.142,2551.142,2463.964,2476.435,1585410900,169931380000.0
309174,2026-07-06,1172.22,1187.79,1163.212,1163.468,4597199600,41202618000.0
309170,2026-07-06,950.042,956.094,930.332,935.963,539647330,10706133200.0
309169,2026-07-06,1742.478,1756.263,1703.591,1708.579,1326845450,31802084000.0
309167,2026-07-06,1905.607,1911.826,1820.86,1842.755,2090119100,59546702000.0
309164,2026-07-06,1361.79,1365.012,1318.434,1318.465,1715048200,38985686000.0
309155,2026-07-06,1552.971,1564.805,1531.114,1536.952,577979850,5225544800.0
309154,2026-07-06,1798.743,1811.3,1780.695,1781.393,17063485000,316576230000.0
309152,2026-07-06,3005.293,3009.171,2883.162,2922.484,11046194800,283937060000.0
309151,2026-07-06,4241.19,4251.484,4007.065,4068.594,8447445400,266336590000.0
309136,2026-07-06,2712.938,2745.004,2608.217,2639.946,5498702800,125878134000.0
309135,2026-07-06,1270.634,1307.868,1268.146,1290.912,1991713200,19587208000.0
309134,2026-07-06,1585.478,1590.515,1541.035,1548.429,903227890,16321191000.0
